"referenceId","Bodega","SKU","Entry ID","Fecha de entrada","Fecha de vencimiento","Inv Entra","Inv Vendido","Inv en Transito","Inv Dañado","Inv Destruido","Inv Donado","Inv Mercadeo","Inv Ajustado","Inv Disponible","Precio Unidad","Vence en","Días de Inv","En Bodega"
"1592","Avión Metálico Air Express Rojo",Quick,9010ROJO,2,,0,,,,,,,,,13782,,,
"1593","Coche Metálico Super Sport KT54 Rojo",Quick,675ROJO,2,,0,,,,,,,,,10756,,,
"1597","Ballon Burbuja 18'' X1",Quick,PG00002,2,,0,,,,,,,,,2017,,,
"1598","Globo Metalizado estrella 12 puntas",Quick,PG00004,2,,0,,,,,,,,,3025,,,
"1600","Coche Plástico Formula Amarillo",Quick,2015AMARILLO,2,,0,,,,,,,,,7731,,,
"1601","Coche Plástico Formula Azul",Quick,2015AZUL,2,,0,,,,,,,,,7731,,,
"1602","Coche Plástico Formula Rojo",Quick,2015ROJO,2,,0,,,,,,,,,7731,,,
"1603","Coche plástico Race Rojo",Quick,2017ROJO,2,,0,,,,,,,,,8067,,,
"1604","Coche plástico Race Naranja",Quick,2017NARANJA,2,,0,,,,,,,,,8067,,,
"1605","Coche plástico Race Verde",Quick,2017VERDE,2,,0,,,,,,,,,8067,,,
"1606","Coche plástico Race Azul",Quick,2017AZUL,2,,0,,,,,,,,,8067,,,
"1607","Avión Plástico Speed Rojo",Quick,7709ROJO,2,,0,,,,,,,,,8403,,,
"1608","Avión Plástico Speed Azul",Quick,7709AZUL,2,,0,,,,,,,,,8403,,,
"1609","Coche plástico Transformable Verde",Quick,8102VERDE,2,,0,,,,,,,,,7059,,,
"1610","Coche Plástico Ambulancia ",Quick,7767BLANCO,2,,0,,,,,,,,,4034,,,
"1611","Coche Plástico Policia ",Quick,7767AZUL,2,,0,,,,,,,,,4034,,,
"1612"," Coche Plástico Bomberos ",Quick,7767ROJO,2,,0,,,,,,,,,4034,,,
"1616","Carrito plástico Fucsia",Quick,7773-6FUSCIA,2,,0,,,,,,,,,3529,,,
"1617","Carrito plástico morado",Quick,7773-6MORADO,2,,0,,,,,,,,,3529,,,
"1618","Coche Constructor luz y sonido volqueta",Quick,A6622VOLQUETA,2,,0,,,,,,,,,4538,,,
"1619","Coche Constructor luz y sonido mezcladora",Quick,A6622MEZCLADORA,2,,0,,,,,,,,,4538,,,
"1620","Coche Constructor luz y sonido retro escavadora",Quick,A6622RETRO,2,,0,,,,,,,,,4538,,,
"1621","Coche Constructor luz y sonido camion de basura",Quick,A6622BASURA,2,,0,,,,,,,,,4538,,,
"1622","Coche ambulancia luz y sonido",Quick,A5522B-12AM,2,,0,,,,,,,,,4538,,,
"1623","Coche Bomberos Escalera Luz y Sonido",Quick,A5522B-12BE,2,,0,,,,,,,,,4538,,,
"1624","Coche Bomberos Manguera Luz y Sonido",Quick,A5522B-12BM,2,,0,,,,,,,,,4538,,,
"1625","Esmalte Abu dhabi ",Quick,ES01,2,,0,,,,,,,,,1450,,,
"1626","esmalte amsterdam ",Quick,ES02,2,,0,,,,,,,,,1450,,,
"1627","esmalte atenas ",Quick,ES03,2,,0,,,,,,,,,1450,,,
"1628","esmalte atlanta ",Quick,ES05,2,,0,,,,,,,,,1450,,,
"1629","esmalte austin ",Quick,ES06,2,,0,,,,,,,,,1450,,,
"1630","esmalte aviles ",Quick,ES07,2,,0,,,,,,,,,1450,,,
"1631","Esmalte Barcelona ",Quick,ES08,2,,0,,,,,,,,,1450,,,
"1633","Esmalte Berlin ",Quick,ES10,2,,0,,,,,,,,,1450,,,
"1634","Esmalte Boston ",Quick,ES11,2,,0,,,,,,,,,1450,,,
"1635","Esmalte Brisbane",Quick,ES13,2,,0,,,,,,,,,1450,,,
"1636","Esmalte Bruselas ",Quick,ES14,2,,0,,,,,,,,,1450,,,
"1637","Esmalte Budapest ",Quick,ES15,2,,0,,,,,,,,,1450,,,
"1638","Esmalte California ",Quick,ES16,2,,0,,,,,,,,,1450,,,
"1640","Esmalte Cancun ",Quick,ES18,2,,0,,,,,,,,,1450,,,
"1641","Esmalte Chicago ",Quick,ES19,2,,0,,,,,,,,,1450,,,
"1642","Esmalte Cleveland",Quick,ES21,2,,0,,,,,,,,,1450,,,
"1643","Esmalte Curitiba",Quick,ES22,2,,0,,,,,,,,,1450,,,
"1644","Esmalte Dallas ",Quick,ES23,2,,0,,,,,,,,,1450,,,
"1645","Esmalte Denver ",Quick,ES25,2,,0,,,,,,,,,1450,,,
"1646","Esmalte Detroit",Quick,ES26,2,,0,,,,,,,,,1450,,,
"1647","Esmalte Dortmunt ",Quick,ES29,2,,0,,,,,,,,,1450,,,
"1648","Esmalte Dubai ",Quick,ES30,2,,0,,,,,,,,,1450,,,
"1649","Esmalte Estambul ",Quick,ES31,2,,0,,,,,,,,,1450,,,
"1650","Esmalte Estocolmo ",Quick,ES32,2,,0,,,,,,,,,1450,,,
"1651","Esmalte Filadelfia ",Quick,ES33,2,,0,,,,,,,,,1450,,,
"1652","Esmalte Frankfurt ",Quick,ES34,2,,0,,,,,,,,,1450,,,
"1653","Esmalte Ginebra",Quick,ES35,2,,0,,,,,,,,,1450,,,
"1654","Esmalte Hong-Kong ",Quick,ES36,2,,0,,,,,,,,,1450,,,
"1655","Esmalte Houston ",Quick,ES37,2,,0,,,,,,,,,1450,,,
"1656","Esmalte Ibiza ",Quick,ES38,2,,0,,,,,,,,,1450,,,
"1657","Esmalte Jerusalen ",Quick,ES39,2,,0,,,,,,,,,1450,,,
"1658","Esmalte Katmandu ",Quick,ES40,2,,0,,,,,,,,,1450,,,
"1659","Esmalte Leicester ",Quick,ES41,2,,0,,,,,,,,,1450,,,
"1660","esmalte Lisboa ",Quick,ES42,2,,0,,,,,,,,,1450,,,
"1661","Esmalte Liverpool ",Quick,ES43,2,,0,,,,,,,,,1450,,,
"1662","Esmalte Londres ",Quick,ES44,2,,0,,,,,,,,,1450,,,
"1663","Esmalte Madrid ",Quick,ES45,2,,0,,,,,,,,,1450,,,
"1664","Esmalte Manchester ",Quick,ES46,2,,0,,,,,,,,,1450,,,
"1665","Esmalte Marsella ",Quick,ES47,2,,0,,,,,,,,,1450,,,
"1666","Esmalte Melbourne ",Quick,ES48,2,,0,,,,,,,,,1450,,,
"1667","Esmalte Miami ",Quick,ES49,2,,0,,,,,,,,,1450,,,
"1668","Esmalte Milan",Quick,ES50,2,,0,,,,,,,,,1450,,,
"1669","Esmalte Montreal ",Quick,ES51,2,,0,,,,,,,,,1450,,,
